"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.93396678967249,11668,0.87669228360843,11195,0.969759822384161,11953
"Abaji",0.281767739097421,8622,0.262545860007146,8028,0.301605274966179,9235
"Abak",0.141377333398229,43,0.103024639123744,31,0.185090608593823,56
"Abakaliki",0.278707725547187,1070,0.253175446398874,971,0.305340210418348,1173
"Abeokuta North",0.545900723107939,1993,0.480231389225733,1755,0.609509070481694,2224
"Abeokuta South",0.397947056946991,204,0.350976004290869,180,0.446389875450979,229
"Abi",0.241794051600498,205,0.213942290894749,182,0.27127825780082,229
"Aboh-Mbaise",0.205917955295321,63,0.163934264442561,50,0.250801181408734,77
"Abua/Odual",0.170463644728107,19,0.0336315098625499,4,0.4307946944106,47
"Abuja",0.272965639819234,15494,0.248083988270244,14054,0.299004795932356,17004
"Adavi",0.480744887835086,5762,0.451363451437924,5410,0.510166506520434,6114
"Ado",0.319127053672276,1482,0.299108717002258,1389,0.339650599026815,1577
"Ado Odo/Ota",0.69943525128329,1959,0.599614260085945,1677,0.786598875591903,2207
"Ado-Ekiti",0.413831360326742,114,0.386605442426576,106,0.441412240557306,121
"Afijio",0.283067667711788,1430,0.254624331746285,1281,0.312858940652451,1587
"Afikpo North",0.224800967308399,183,0.2021916827409,164,0.248676879950047,202
"Afikpo South",0.217420345060439,109,0.197453260267773,100,0.238422019504727,120
"Agaie",0.262550826960335,12506,0.240219031581953,11427,0.285718210128758,13627
"Agatu",0.466824881184777,4563,0.433623785713831,4221,0.499697104520651,4900
"Aguata",0.250652028114419,127,0.231479465222309,117,0.270586583394721,137
"Agwara",0.136654741852561,4275,0.103456657558583,3383,0.174948118151958,5308
"Ahiazu-Mbaise",0.209684020508077,38,0.18857132123546,34,0.231869415576213,42
"Ahoada East",0.18380493182299,7,0.0542297757865715,2,0.394432756628292,16
"Ahoada West",0.191560509354339,14,0.0495868057874823,3,0.430230022708317,31
"Aiyedade",0.364207473481634,1174,0.339041794169222,1091,0.389929131034317,1259
"Ajaokuta",0.501868123534319,8468,0.462976481309916,7809,0.539825620904165,9110
"Ajingi",0.181762097969037,0,0.158825493400436,0,0.206517397606344,0
"Akamkpa",0.136273842873533,89,0.117842273801587,77,0.156416636344369,102
"Akinyele",0.300819097386128,1052,0.278953240787412,976,0.323389725513945,1130
"Akko",0.262070674551745,10414,0.236177246596026,9367,0.289253862056611,11514
"Akoko North-East",0.479015867172263,426,0.451610139410009,403,0.506515654053334,449
"Akoko North-West",0.461627423491464,226,0.4324833357038,212,0.490982487281606,240
"Akoko South-East",0.446818324070298,77,0.418273199941108,72,0.47562553122576,82
"Akoko South-West",0.445549858743849,164,0.418289867235194,154,0.473068161680354,174
"Akoko-Edo",0.477188309871708,2336,0.450251325015591,2204,0.504224955194478,2468
"Akpabuyo",0.176374306956213,35,0.130786069994006,28,0.221037220261673,44
"Akuku-Toru",0.15064883997087,13,0.0216731681852296,2,0.432316553815047,38
"Akure North",0.444359322999568,148,0.4150352116006,139,0.473921888964641,158
"Akure South",0.41968412073178,99,0.392705869013235,93,0.447022268524385,105
"Akwanga",0.423792837495152,6357,0.397955007671553,5968,0.44993725932496,6750
"Albasu",0.208159451059429,0,0.186614597371167,0,0.231000853195204,0
"Aleiro",0.0604171855192298,0,0.0384044094817728,0,0.08991328195849,0
"Alimosho",0.492892832438611,132,0.390262538516727,110,0.596443605006717,153
"Alkaleri",0.353689982196867,34841,0.324141991740873,31842,0.384011180135472,37953
"Amuwo Odofin",0.630653687457247,155,0.517136147522176,127,0.734029903816941,180
"Anambra East",0.345405797934975,589,0.309628323611426,531,0.382215104048224,648
"Anambra West",0.370567953347409,1324,0.336459337050851,1205,0.40536686182772,1445
"Anaocha",0.274805529542862,121,0.250864166241852,111,0.299742407347804,132
"Andoni",0.136392861800651,5,0.0342875034854115,1,0.322109705574098,12
"Aninri",0.273299857355059,360,0.250021381841837,330,0.297522558234062,392
"Aniocha North",0.362958461553857,289,0.336774311526923,269,0.389694612629809,310
"Aniocha South",0.324568146266537,539,0.29775935701357,495,0.352044509112467,584
"Anka",0.0666172012125596,1501,0.0471283615223441,1089,0.091149374821662,2009
"Ankpa",0.351785800701494,4585,0.331065892451001,4314,0.372943874789658,4863
"Apa",0.430378620520548,2415,0.407349189781918,2285,0.453632766344685,2545
"Ardo-Kola",0.106886025835955,2115,0.0913414255271399,1819,0.124112202220699,2442
"Arewa Dandi",0.0522488158997721,272,0.0279410004595652,140,0.0882915460224275,469
"Argungu",0.0435836840474759,0,0.0260334861157861,0,0.0681766784617289,0
"Arochukwu",0.167641300440194,67,0.149580953754289,60,0.186941120629542,74
